Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2016,2016,2016,6,1,2,Export,417,Kyrgyzstan,KGZ,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",5,Number of items,16,,,,314,,2514,,,0
H4,2016,2016,2016,6,1,1,Import,418,Lao People's Dem. Rep.,LAO,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",1,No Quantity,,,,,19240,,251397,,,4
H4,2016,2016,2016,6,1,2,Export,418,Lao People's Dem. Rep.,LAO,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",1,No Quantity,,,,,6,,150,,,4
H4,2016,2016,2016,6,1,1,Import,422,Lebanon,LBN,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",1,No Quantity,,,,,1464795,,5243193,,,0
H4,2016,2016,2016,6,1,2,Export,422,Lebanon,LBN,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",1,No Quantity,,,,,4287,,79396,,,0
H4,2016,2016,2016,6,1,1,Import,426,Lesotho,LSO,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",1,No Quantity,0,,,,142289,,223184,,,2
H4,2016,2016,2016,6,1,2,Export,426,Lesotho,LSO,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",1,No Quantity,0,,,,2412,,367,,,2
H4,2016,2016,2016,6,1,1,Import,428,Latvia,LVA,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",5,Number of items,39218,,,,523602,,6920374,,,0
H4,2016,2016,2016,6,1,2,Export,428,Latvia,LVA,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",5,Number of items,11417,,,,130935,,1572171,,,0
H4,2016,2016,2016,6,1,1,Import,440,Lithuania,LTU,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",5,Number of items,38314,,,,514030,,6383516,,,0
H4,2016,2016,2016,6,1,2,Export,440,Lithuania,LTU,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",5,Number of items,138961,,,,2325501,,29863939,,,0
H4,2016,2016,2016,6,1,1,Import,442,Luxembourg,LUX,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",5,Number of items,60314,,,,720692,,10922114,,,0
H4,2016,2016,2016,6,1,2,Export,442,Luxembourg,LUX,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",5,Number of items,428,,,,27360,,436639,,,0
H4,2016,2016,2016,6,1,3,Re-Export,442,Luxembourg,LUX,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",5,Number of items,8,,,,59,,913,,,0
H4,2016,2016,2016,6,1,4,Re-Import,442,Luxembourg,LUX,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",5,Number of items,18,,,,51,,491,,,0
H4,2016,2016,2016,6,1,1,Import,446,"China, Macao SAR",MAC,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",1,No Quantity,,,,,50918,,718766,,,0
H4,2016,2016,2016,6,1,1,Import,450,Madagascar,MDG,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",1,No Quantity,0,,,,702932,,957986,,,2
H4,2016,2016,2016,6,1,2,Export,450,Madagascar,MDG,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",1,No Quantity,0,,,,598,,2889,,,2
H4,2016,2016,2016,6,1,1,Import,454,Malawi,MWI,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",5,Number of items,50014,,,,1448606,,3406525,,,2
H4,2016,2016,2016,6,1,2,Export,454,Malawi,MWI,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",5,Number of items,167,,,,3042,,440883,,,0
H4,2016,2016,2016,6,1,1,Import,458,Malaysia,MYS,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",5,Number of items,1105100,,,,3323787,,43430392,,,4
H4,2016,2016,2016,6,1,2,Export,458,Malaysia,MYS,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",5,Number of items,119882,,,,238095,,5784340,,,4
H4,2016,2016,2016,6,1,1,Import,462,Maldives,MDV,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",5,Number of items,24179,,,,82607,,1079389,,,4
H4,2016,2016,2016,6,1,1,Import,466,Mali,MLI,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",1,No Quantity,,,,,902115,,808438,,,0
H4,2016,2016,2016,6,1,2,Export,466,Mali,MLI,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",1,No Quantity,,,,,875,,2361,,,0
H4,2016,2016,2016,6,1,1,Import,470,Malta,MLT,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",5,Number of items,2685,,,,38565,,511564,,,0
H4,2016,2016,2016,6,1,2,Export,470,Malta,MLT,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",5,Number of items,355,,,,224,,5385,,,0
